	Max Count	Average Count	Max Depth	Average Depth	Max Travel Depth	Average Travel Depth
	25000,0000	25000,0000	17,0000	17,0000	13,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Traveled depth average	Flat	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	
	Flat cached	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	
	Flat cold	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	
	Naive Pointer	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	
	Pooled Pointer	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	
	Naive Multiway	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	
	Pooled Multiway	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	4,0000	5,0000	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Travel depth max	Flat	4	6	7	8	9	9	9	13	13	12	13	
	Flat cached	4	6	7	8	9	9	9	13	13	12	13	
	Flat cold	4	6	7	8	9	9	9	13	13	12	13	
	Naive Pointer	4	6	7	8	9	9	9	13	13	12	13	
	Pooled Pointer	4	6	7	8	9	9	9	13	13	12	13	
	Naive Multiway	4	6	7	8	9	9	9	13	13	12	13	
	Pooled Multiway	4	6	7	8	9	9	9	13	13	12	13	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Find node	Flat	0,0000	0,0000	0,0000	0,0000	0,3198	0,3198	0,3198	0,9594	1,5991	2,8783	7,0359	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,3198	0,3198	0,6396	1,5991	0,3198	0,3198	0,9594	0,9594	0,9594	1,2793	1,2793	1,5991	2,5585	5,1170	12,4728	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,9594	1,2793	2,2387	3,5180	7,0359	11,8331	21,4275	44,1344	79,3139	144,5560	336,7643	0,3198	0,6396	0,9594	1,5991	2,5585	3,8378	6,0765	12,7926	21,7474	37,7381	77,0752	1,5991	2,2387	3,1981	5,1170	10,5539	19,1888	33,9003	70,6789	130,4842	245,9371	595,1741	
	Pooled Pointer	0,9594	1,5991	2,5585	4,1576	7,9954	15,3511	29,4229	64,2826	109,0566	188,6903	445,5011	0,6396	0,9594	1,2793	1,9189	3,1981	5,1170	8,3152	16,3105	27,1842	45,7334	99,1424	1,9189	2,2387	3,5180	5,7567	11,1935	23,6662	49,5712	115,4529	210,7575	374,8222	936,7356	
	Naive Multiway	0,6396	1,2793	1,9189	2,8783	7,6755	11,1935	15,6709	31,3418	60,4449	110,0161	273,7609	0,3198	0,6396	0,9594	1,2793	2,2387	3,5180	4,7972	9,2746	15,0313	24,6257	60,4449	1,5991	1,9189	2,8783	4,7972	12,7926	18,5492	26,8644	55,9675	105,2189	193,4876	590,3769	
	Pooled Multiway	0,6396	0,9594	1,2793	2,2387	4,1576	7,0359	12,7926	28,7833	62,0439	115,7727	289,4318	0,3198	0,6396	0,9594	1,2793	1,9189	3,1981	5,1170	9,9142	15,9907	23,9861	63,0034	1,9189	1,9189	2,2387	3,1981	5,1170	8,6350	15,9907	39,9768	97,5433	197,9650	529,2924	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Transform mult first	Flat	0,6396	0,9594	0,9594	1,5991	3,1981	5,7567	11,5133	27,5040	54,3684	108,4170	265,1259	0,3198	0,6396	0,9594	1,5991	3,1981	5,4368	11,1935	26,8644	54,0486	105,5387	261,2882	0,9594	1,2793	1,2793	1,9189	3,5180	6,0765	12,1529	29,7427	67,1610	131,1238	330,0482	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	1,5991	1,9189	3,5180	6,0765	12,7926	23,0266	40,6164	87,6291	166,6232	325,5708	798,2561	1,2793	1,5991	2,8783	5,4368	12,1529	21,7474	39,0173	85,0706	162,7854	307,9810	760,8379	2,5585	2,8783	4,1576	7,0359	14,0718	24,6257	46,0532	101,7009	195,7263	358,1918	846,8679	
	Pooled Pointer	1,2793	2,2387	3,8378	6,3963	13,7520	27,5040	56,2873	139,1192	262,8872	480,3609	1204,1003	1,2793	1,9189	3,5180	6,0765	12,7926	26,2248	52,1297	114,4935	165,6637	302,8640	731,0951	2,2387	3,1981	4,7972	7,3557	15,0313	29,7427	66,5213	152,8712	289,7516	555,5172	1423,1730	
	Naive Multiway	0,9594	1,9189	3,5180	6,3963	17,5898	25,2653	38,0579	78,6743	144,8758	283,6752	720,2215	0,9594	1,9189	3,1981	5,7567	16,6303	24,3059	36,7786	75,7960	140,7182	269,2835	649,5425	1,2793	2,5585	3,8378	6,7161	18,8690	27,5040	42,8551	94,9848	163,7448	312,4584	1533,5088	
	Pooled Multiway	0,6396	0,9594	1,5991	2,8783	6,3963	12,1529	23,3464	55,3278	116,4124	272,8015	685,6815	0,3198	0,9594	1,5991	2,5585	6,0765	11,5133	22,3870	53,4090	110,6557	225,4690	546,5624	0,9594	1,2793	1,9189	3,5180	7,3557	13,4322	27,8238	67,8006	134,0021	291,3507	787,7023	

	Count	10	25	50	100	250	500	1000	2500	5000	10000	25000	
Transform mult last	Flat	0,3198	0,6396	0,6396	1,2793	2,5585	4,7972	9,5944	23,3464	46,0532	94,0254	228,6671	0,3198	0,3198	0,6396	0,9594	2,2387	4,7972	9,2746	23,0266	45,7334	91,4668	228,0275	0,6396	0,6396	0,9594	1,2793	2,8783	5,1170	9,9142	24,6257	57,5665	119,2907	246,5767	
	Flat cached	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Flat cold	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	
	Naive Pointer	0,9594	1,5991	1,9189	2,5585	6,0765	9,5944	15,6709	39,9768	80,9130	164,7043	625,5565	0,6396	1,2793	1,5991	2,2387	5,4368	9,2746	15,0313	39,0173	79,6337	160,5467	586,8590	1,2793	1,9189	3,1981	4,1576	6,3963	10,5539	16,9501	49,2514	94,0254	192,2083	692,3976	
	Pooled Pointer	0,9594	1,5991	1,5991	2,5585	4,1576	10,5539	16,6303	45,4136	94,3452	179,0959	689,1995	0,9594	1,2793	1,5991	2,2387	3,8378	9,9142	15,3511	40,2966	80,5932	158,6278	591,9760	1,2793	1,9189	1,9189	2,8783	4,4774	11,5133	17,5898	56,9269	112,2548	232,1851	732,6942	
	Naive Multiway	0,9594	1,2793	1,9189	2,5585	4,7972	11,8331	18,5492	44,4542	93,0659	199,5640	728,8564	0,9594	1,2793	1,5991	2,5585	4,4774	11,1935	17,5898	43,1749	91,1470	185,8120	653,3803	1,2793	1,5991	2,2387	2,8783	5,1170	13,1124	20,1483	56,6071	105,8585	228,0275	1394,0699	
	Pooled Multiway	1,2793	1,5991	1,9189	2,5585	4,7972	12,1529	17,5898	41,5758	90,8272	194,4470	706,4695	0,9594	1,2793	1,5991	2,5585	4,4774	11,5133	16,9501	40,6164	88,2687	183,5733	635,7905	1,2793	1,9189	1,9189	2,8783	5,1170	13,7520	19,5087	52,7693	111,2953	227,0680	777,7880	
